lat,lng
31.3241979,75.5748144
31.3242872,75.574632
31.3202994,75.5719073
31.320107,75.5718094
31.32014,75.5717204
31.3203324,75.5718184
31.3229573,75.5706657
31.3226973,75.5706375
31.32272,75.5703498
31.3229801,75.570378
31.323274,75.572128
31.324162,75.574654
31.3236751,75.5717506
31.3202473,75.5718327
31.322839,75.570535
31.323243,75.571044
31.3229437,75.5740332
31.323373,75.5743356
31.3226697,75.5731741
31.3229136,75.572513
31.3228177,75.5724758
31.3234508,75.5738291
31.3234358,75.572088
31.3234688,75.5717528
31.3210757,75.5742672
31.3210897,75.5741613
31.322496,75.5739903
31.3216603,75.5730763
31.321654,75.5730572
31.3216545,75.5730341
31.3228875,75.574166
31.3228583,75.5741706
31.3228758,75.574172
31.3221041,75.5745196
31.321826,75.574693
31.3202282,75.5749954
31.3235259,75.573657
31.3235133,75.5736952
31.3235322,75.5736288
31.3235351,75.5735739
31.3249832,75.5714871
31.3246412,75.5713684
31.3246573,75.5713503
31.3246744,75.5713389
31.3228101,75.5724683
31.3228056,75.5724555
31.3228029,75.5724299
31.3228053,75.572392
31.3223305,75.5714499
31.3223571,75.5714442
31.3223789,75.5714345
31.3205518,75.5708467
31.3206217,75.57072
31.3211075,75.5712873
31.3216737,75.5708804
31.3215765,75.5710747
31.3215766,75.5711213
31.3212673,75.5732681
31.3210936,75.5737968
31.3201829,75.5730441
31.3229271,75.5725709
31.3229302,75.5725509
31.3229299,75.5725384
31.3229253,75.5725263
31.3218897,75.5701137
31.3203013,75.570288
31.3206607,75.5706708
31.3202246,75.5703926
31.3245307,75.5712655
31.3217007,75.5723367
