lat,lng
31.3200483,75.5722508
31.3214353,75.5724095
31.3216861,75.5724694
31.3220213,75.5726851
31.3243271,75.5745305
31.3200965,75.5705924
31.320286,75.572278
31.3203812,75.5716248
31.3203947,75.5701602
31.3204017,75.571516
31.3204556,75.5711874
31.3204716,75.571123
31.3204974,75.5710078
31.3206838,75.5706416
31.3209455,75.5700397
31.3210347,75.5712229
31.3211699,75.5713208
31.3213978,75.5724052
31.321477,75.570842
31.3215116,75.5716049
31.3215373,75.5714245
31.3215559,75.5712932
31.3215537,75.5710023
31.3216603,75.5724633
31.3218402,75.5718999
31.32186,75.5700856
31.3219266,75.570135
31.3219495,75.5713719
31.3223929,75.571408
31.3224244,75.5724581
31.3226504,75.5710632
31.3227933,75.572859
31.3232588,75.5726656
31.3229125,75.5719042
31.322929,75.5711057
31.3229547,75.5734321
31.3230288,75.5702733
31.3230505,75.5711243
31.3231495,75.5711394
31.3233636,75.5711806
31.3233667,75.572336
31.323441,75.5720346
31.3235256,75.5718759
31.3235389,75.5712494
31.3235502,75.5713478
31.3235756,75.5711904
31.3235771,75.5713801
31.3236053,75.5713959
31.3236068,75.5711729
31.3236176,75.5713992
31.3236207,75.5711696
31.3236564,75.5713975
31.3236648,75.5711747
31.323697,75.5713735
31.3237035,75.5712029
31.3237142,75.5713516
31.3237235,75.5712365
31.3237307,75.5713061
31.323752,75.5700888
31.324604,75.5747471
31.3249351,75.5725835
31.320075,75.5737297
31.3201086,75.5746837
31.3201388,75.5732607
31.3202225,75.5737359
31.3203216,75.572283
31.3204302,75.5737446
31.3204918,75.5745309
31.3206498,75.5737442
31.3207357,75.5737495
31.3209545,75.573771
31.3210661,75.5723673
31.3210699,75.5743376
31.3210817,75.5737931
31.3211608,75.5738173
31.3214993,75.5739557
31.3216173,75.5740003
31.3219484,75.5741345
31.3219983,75.5741535
31.3222006,75.5742972
31.3229215,75.5748881
31.3216648,75.5729938
31.3218334,75.5725642
31.3218866,75.5716502
31.3220994,75.5721445
31.3221822,75.5734073
31.3221935,75.5717322
31.3223819,75.5729737
31.322437,75.5710191
31.3225352,75.5718235
31.3228941,75.5741572
31.3229897,75.5738992
31.323108,75.5735548
31.3235322,75.5735095
31.3235151,75.5733687
31.3236102,75.5730106
31.323738,75.5726308
31.3237597,75.5725517
31.3238299,75.5741325
31.3239167,75.573524
31.3239442,75.5737453
31.3243154,75.5737037
31.3243325,75.5739035
31.324687,75.5733834
31.3247848,75.5740402
31.3248217,75.5749174
31.324801,75.5729811
31.3248329,75.5738521
31.3249594,75.5734747
31.3200632,75.574978
31.3204713,75.5746859
31.3214288,75.5739225
31.3216459,75.5740137
31.3217061,75.5731152
31.3219566,75.5748056
31.3218194,75.5735863
31.3218864,75.5744391
31.3219437,75.573262
31.3220547,75.574847
31.3222208,75.5745962
31.3221666,75.5749002
31.3223236,75.5738756
31.3223366,75.5746887
31.3223986,75.5739299
31.3224713,75.5735953
31.3224866,75.5749944
31.3225153,75.5736239
31.3225596,75.5748734
31.3226765,75.5746769
31.3227463,75.5732274
31.322804,75.5745251
31.3233959,75.5749123
31.3236113,75.5745126
31.3244568,75.571707
31.3246991,75.5713389
31.3247374,75.5742256
31.3211894,75.5701111
31.3211513,75.5701239
31.3213555,75.5701006
31.3212001,75.5702149
31.3211378,75.5701338
31.3210713,75.5700099
31.320109,75.572741
31.3200527,75.5732612
31.3201184,75.5723818
31.3202415,75.5724196
31.322557,75.5708722
31.3226478,75.5706766
31.3225269,75.5706554
31.3224905,75.5709395
31.3226114,75.5709607
31.3236639,75.5743097
31.3235181,75.5744207
31.3235911,75.5744857
31.3237281,75.5742751
31.3236552,75.5742101
31.3231255,75.5704182
31.3232961,75.5703927
31.3232825,75.5705138
31.3230719,75.5704814
31.3230855,75.5703603
31.323664,75.5716793
31.3236033,75.5718536
31.3236755,75.5718881
31.3237362,75.5717137
31.323348,75.5722197
31.3231761,75.5721728
31.3232035,75.5720356
31.3233753,75.5720825
31.3231965,75.5708578
31.3231805,75.5710845
31.3232802,75.5710942
31.3232962,75.5708675
31.3241792,75.5745595
31.3240899,75.5747419
