lat,lng,type,risk
31.3200483,75.5722508,node,0
31.3214353,75.5724095,node,0
31.3216861,75.5724694,node,0
31.3220213,75.5726851,node,0
31.3243271,75.5745305,node,0
31.3200965,75.5705924,node,0
31.320286,75.572278,node,0
31.3203812,75.5716248,node,0
31.3203947,75.5701602,node,0
31.3204017,75.571516,node,0
31.3204556,75.5711874,node,0
31.3204716,75.571123,node,0
31.3204974,75.5710078,node,0
31.3206838,75.5706416,node,0
31.3209455,75.5700397,node,0
31.3210347,75.5712229,node,0
31.3211699,75.5713208,node,0
31.3213978,75.5724052,node,0
31.321477,75.570842,node,0
31.3215116,75.5716049,node,0
31.3215373,75.5714245,node,0
31.3215559,75.5712932,node,0
31.3215537,75.5710023,node,0
31.3216603,75.5724633,node,0
31.3218402,75.5718999,node,0
31.32186,75.5700856,node,0
31.3219266,75.570135,node,0
31.3219495,75.5713719,node,0
31.3223929,75.571408,node,0
31.3224244,75.5724581,node,0
31.3226504,75.5710632,node,0
31.3227933,75.572859,node,0
31.3232588,75.5726656,node,0
31.3229125,75.5719042,node,0
31.322929,75.5711057,node,0
31.3229547,75.5734321,node,0
31.3230288,75.5702733,node,0
31.3230505,75.5711243,node,0
31.3231495,75.5711394,node,0
31.3233636,75.5711806,node,0
31.3233667,75.572336,node,0
31.323441,75.5720346,node,0
31.3235256,75.5718759,node,0
31.3235389,75.5712494,node,0
31.3235502,75.5713478,node,0
31.3235756,75.5711904,node,0
31.3235771,75.5713801,node,0
31.3236053,75.5713959,node,0
31.3236068,75.5711729,node,0
31.3236176,75.5713992,node,0
31.3236207,75.5711696,node,0
31.3236564,75.5713975,node,0
31.3236648,75.5711747,node,0
31.323697,75.5713735,node,0
31.3237035,75.5712029,node,0
31.3237142,75.5713516,node,0
31.3237235,75.5712365,node,0
31.3237307,75.5713061,node,0
31.323752,75.5700888,node,0
31.324604,75.5747471,node,0
31.3249351,75.5725835,node,0
31.320075,75.5737297,node,0
31.3201086,75.5746837,node,0
31.3201388,75.5732607,node,0
31.3202225,75.5737359,node,0
31.3203216,75.572283,node,0
31.3204302,75.5737446,node,0
31.3204918,75.5745309,node,0
31.3206498,75.5737442,node,0
31.3207357,75.5737495,node,0
31.3209545,75.573771,node,0
31.3210661,75.5723673,node,0
31.3210699,75.5743376,node,0
31.3210817,75.5737931,node,0
31.3211608,75.5738173,node,0
31.3214993,75.5739557,node,0
31.3216173,75.5740003,node,0
31.3219484,75.5741345,node,0
31.3219983,75.5741535,node,0
31.3222006,75.5742972,node,0
31.3229215,75.5748881,node,0
31.3216648,75.5729938,node,0
31.3218334,75.5725642,node,0
31.3218866,75.5716502,node,0
31.3220994,75.5721445,node,0
31.3221822,75.5734073,node,0
31.3221935,75.5717322,node,0
31.3223819,75.5729737,node,0
31.322437,75.5710191,node,0
31.3225352,75.5718235,node,0
31.3228941,75.5741572,node,0
31.3229897,75.5738992,node,0
31.323108,75.5735548,node,0
31.3235322,75.5735095,node,0
31.3235151,75.5733687,node,0
31.3236102,75.5730106,node,0
31.323738,75.5726308,node,0
31.3237597,75.5725517,node,0
31.3238299,75.5741325,node,0
31.3239167,75.573524,node,0
31.3239442,75.5737453,node,0
31.3243154,75.5737037,node,0
31.3243325,75.5739035,node,0
31.324687,75.5733834,node,0
31.3247848,75.5740402,node,0
31.3248217,75.5749174,node,0
31.324801,75.5729811,node,0
31.3248329,75.5738521,node,0
31.3249594,75.5734747,node,0
31.3200632,75.574978,node,0
31.3204713,75.5746859,node,0
31.3214288,75.5739225,node,0
31.3216459,75.5740137,node,0
31.3217061,75.5731152,node,0
31.3219566,75.5748056,node,0
31.3218194,75.5735863,node,0
31.3218864,75.5744391,node,0
31.3219437,75.573262,node,0
31.3220547,75.574847,node,0
31.3222208,75.5745962,node,0
31.3221666,75.5749002,node,0
31.3223236,75.5738756,node,0
31.3223366,75.5746887,node,0
31.3223986,75.5739299,node,0
31.3224713,75.5735953,node,0
31.3224866,75.5749944,node,0
31.3225153,75.5736239,node,0
31.3225596,75.5748734,node,0
31.3226765,75.5746769,node,0
31.3227463,75.5732274,node,0
31.322804,75.5745251,node,0
31.3233959,75.5749123,node,0
31.3236113,75.5745126,node,0
31.3244568,75.571707,node,0
